Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,.SPX,.VIX,SPY,EUR=,XAU=,GDX,GLD
2014-01-01,,,,,,,,,1.3752,1205.29,,
2014-01-02,19.7546231025,37.16,25.79,19.8985,176.89,1831.98,14.23,182.92,1.367,1224.51,22.03,118.0
2014-01-03,19.320694965,36.91,25.78,19.822000000000003,178.15,1831.37,13.76,182.885,1.3587,1236.16,21.83,119.29
2014-01-06,19.4260520025,36.13,25.46,19.6815,179.37,1826.77,13.55,182.36,1.3627,1237.59,21.93,119.5
2014-01-07,19.287034284375004,36.41,25.585,19.9015,178.29,1837.88,12.92,183.48,1.3615,1231.49,21.97,118.82
2014-01-08,19.409266305000003,35.76,25.43,20.096000000000004,178.44,1837.49,12.87,183.52,1.3574,1225.71,21.61,118.12
2014-01-09,19.16137369575,35.53,25.31,20.0505,177.4,1838.13,12.89,183.64,1.3606,1227.49,21.27,118.46
2014-01-10,19.033552395000005,36.04,25.53,19.883000000000003,178.39,1842.37,12.14,184.14,1.3667,1246.7,22.01,120.26
2014-01-13,19.1331951525,34.98,25.5,19.549000000000003,175.88,1819.2,13.28,181.685,1.3671,1253.06,22.65,121.02
2014-01-14,19.5139090575,35.78,26.51,19.877,176.6,1838.88,12.28,183.67,1.3679,1244.71,22.1,119.89
2014-01-15,19.905694380000003,36.76,26.67,19.7935,178.75,1848.38,12.28,184.66,1.3603,1241.36,22.39,119.66
2014-01-16,19.7946230625,36.89,26.54,19.790000000000003,175.17,1845.89,12.53,184.42,1.3619,1242.1,22.62,119.79
2014-01-17,19.3096235475,36.38,25.85,19.980500000000003,176.28,1838.7,12.44,183.635,1.3539,1253.33,23.33,120.93
2014-01-20,,,,,,,,,1.355,1253.19,,
2014-01-21,19.609623247500004,36.17,25.59,20.352500000000003,173.2,1843.8,12.87,184.18,1.3559,1241.11,23.7,119.7
2014-01-22,19.6967660175,35.93,25.31,20.227000000000004,173.68,1844.86,12.84,184.3,1.3546,1236.05,23.09,119.19
2014-01-23,19.863551565,36.055,25.13,19.9935,170.75,1828.46,13.77,182.79,1.3694,1263.95,23.72,121.79
2014-01-24,19.5024804975,36.805,24.81,19.380000000000003,167.64,1790.29,18.14,178.89,1.3675,1268.64,23.67,122.29
2014-01-27,19.660694625,36.03,24.72,19.314,164.69,1781.56,17.42,178.01,1.367,1256.6,22.89,120.96
2014-01-28,18.089267625,36.27,24.9,19.7215,166.25,1792.5,15.8,179.07,1.3668,1256.09,23.4,120.95
2014-01-29,17.883910687500002,36.66,24.68,19.21,163.9,1774.2,17.35,177.35,1.3662,1267.79,24.01,122.47
2014-01-30,17.8493392935,36.86,24.74,20.1505,165.84,1794.19,17.29,179.23,1.3555,1243.25,23.49,119.77
2014-01-31,17.878553550000003,37.84,24.54,17.9345,164.12,1782.59,18.41,178.18,1.3485,1243.19,23.48,120.09
2014-02-03,17.9117678025,36.48,23.95,17.3075,159.82,1741.89,21.44,174.17,1.3524,1257.2,23.3,121.32
2014-02-04,18.1710532575,36.35,23.82,17.3975,161.76,1755.2,19.11,175.385,1.3518,1254.52,23.59,120.99
2014-02-05,18.306767407500004,35.82,23.52,17.3225,160.42,1751.64,19.95,175.17,1.3532,1257.54,23.21,121.29
2014-02-06,18.3039102675,36.18,23.99,17.729499999999998,161.75,1773.43,17.23,177.48,1.3588,1257.26,23.19,121.24
2014-02-07,18.55998144,36.56,24.205,18.054,161.93,1797.02,15.29,179.68,1.3633,1266.58,23.91,122.17
2014-02-10,18.892481107500004,36.8,24.29,18.0435,161.0,1799.84,15.26,180.01,1.3644,1274.29,24.7,122.92
2014-02-11,19.141409430000003,37.175,24.47,18.0895,164.39,1819.75,14.51,181.98,1.3636,1291.46,25.65,124.36
2014-02-12,19.13998086,37.47,24.55,17.462500000000002,163.5,1819.26,14.3,182.07,1.3592,1290.64,24.77,124.43
2014-02-13,19.4439091275,37.61,24.7,17.86,164.06,1829.83,14.14,183.01,1.3679,1302.3,25.87,125.49
2014-02-14,19.428194857500003,37.62,24.755,17.867500000000003,163.72,1838.63,13.57,184.02,1.369,1318.5,26.35,127.15
2014-02-17,,,,,,,,,1.3706,1328.49,,
